customer_id,segment_name,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_total,ticket_count,return_rate,sessions_30d,last_visit_days_ago,loyalty_tier
CUST00001,Needs Attention,107,6,2955.57,2,5,4,11,2,16.7,1,20,Silver
CUST00002,New Customers,40,1,581.0,4,1,1,6,1,0.0,8,0,Silver
CUST00003,Dormant,171,1,649.98,1,1,1,3,0,0.0,1,26,Not Enrolled
CUST00004,At-Risk,131,1,1604.04,2,1,3,6,0,0.0,1,14,Not Enrolled
CUST00005,Dormant,38,4,2550.91,4,3,3,10,1,0.0,18,9,Gold
CUST00006,Needs Attention,51,5,3770.16,3,4,4,11,2,20.0,2,1,Silver
CUST00007,New Customers,3,1,719.33,5,1,1,7,0,0.0,11,12,Not Enrolled
CUST00008,Dormant,47,4,2747.33,3,3,4,10,1,0.0,2,16,Silver
CUST00009,New Customers,31,1,376.85,4,1,1,6,0,0.0,11,6,Not Enrolled
CUST00010,New Customers,9,1,636.8,5,1,1,7,0,0.0,13,5,Not Enrolled
CUST00011,New Customers,1,2,925.0699999999999,5,2,2,9,0,0.0,10,0,Gold
CUST00012,Dormant,50,2,2051.63,3,2,3,8,1,0.0,3,5,Not Enrolled
CUST00013,Dormant,61,3,1754.44,3,3,3,9,1,0.0,4,21,Not Enrolled
CUST00014,Needs Attention,51,11,8130.16,3,5,5,13,2,0.0,11,17,Not Enrolled
CUST00015,Dormant,35,4,4200.93,4,3,5,12,0,0.0,6,11,Gold
CUST00016,Dormant,215,1,478.02,1,1,1,3,1,0.0,2,32,Not Enrolled
CUST00017,At-Risk,286,3,1699.1399999999999,1,3,3,7,0,0.0,4,47,Not Enrolled
CUST00018,Dormant,111,1,329.21,2,1,1,4,0,0.0,3,37,Silver
CUST00019,New Customers,9,2,1598.93,5,2,3,10,0,0.0,5,0,Gold
CUST00020,At-Risk,368,3,4487.950000000001,1,3,5,9,1,0.0,0,60,Not Enrolled
CUST00021,Dormant,77,2,1059.3,3,2,2,7,1,0.0,3,18,Silver
CUST00022,New Customers,29,1,454.06,4,1,1,6,0,0.0,10,0,Not Enrolled
CUST00023,New Customers,21,1,400.98,4,1,1,6,0,0.0,3,7,Gold
CUST00024,New Customers,4,1,481.35,5,1,1,7,0,0.0,13,0,Not Enrolled
CUST00025,Needs Attention,165,7,4868.86,1,5,5,11,3,0.0,11,29,Not Enrolled
CUST00026,Needs Attention,72,3,3561.3900000000003,3,3,4,10,1,33.3,14,26,Not Enrolled
CUST00027,Needs Attention,70,1,2128.34,3,1,3,7,1,100.0,11,18,Not Enrolled
CUST00028,Dormant,83,2,1489.7800000000002,3,2,2,7,1,0.0,1,19,Not Enrolled
CUST00029,Champions,18,8,5252.9,5,5,5,15,0,0.0,1,0,Not Enrolled
CUST00030,Needs Attention,5,6,3435.5899999999997,5,5,4,14,2,0.0,11,3,Gold
CUST00031,Dormant,49,1,672.95,3,1,1,5,0,0.0,6,9,Not Enrolled
CUST00032,Dormant,33,3,1948.75,4,3,3,10,0,0.0,12,13,Silver
CUST00033,Needs Attention,12,4,2128.09,5,3,3,11,2,50.0,7,7,Gold
CUST00034,Needs Attention,50,6,3353.01,3,5,4,12,3,0.0,7,0,Gold
CUST00035,At-Risk,127,3,1369.71,2,3,2,7,0,0.0,6,25,Silver
CUST00036,Dormant,27,4,1737.33,4,3,3,10,1,25.0,0,14,Silver
CUST00037,Dormant,102,1,435.83,2,1,1,4,0,0.0,5,28,Not Enrolled
CUST00038,Dormant,51,4,2104.61,3,3,3,9,1,0.0,5,14,Not Enrolled
CUST00039,Dormant,15,3,1598.49,5,3,3,11,0,0.0,6,4,Not Enrolled
CUST00040,Dormant,154,1,634.73,1,1,1,3,1,0.0,1,42,Not Enrolled
CUST00041,Dormant,54,4,1911.8600000000001,3,3,3,9,1,0.0,5,22,Silver
CUST00042,Needs Attention,87,9,7523.74,2,5,5,12,6,22.2,3,14,Silver
CUST00043,New Customers,24,1,363.01,4,1,1,6,0,0.0,3,0,Gold
CUST00044,Dormant,72,3,2724.09,3,3,4,10,1,0.0,6,10,Not Enrolled
CUST00045,Dormant,96,1,413.75,2,1,1,4,0,0.0,6,10,Not Enrolled
CUST00046,Dormant,127,1,489.87,2,1,1,4,0,0.0,7,29,Gold
CUST00047,Dormant,204,1,764.43,1,1,1,3,0,0.0,2,36,Gold
CUST00048,Dormant,61,4,2450.45,3,3,3,9,1,25.0,12,12,Silver
CUST00049,New Customers,8,1,380.83,5,1,1,7,0,0.0,4,0,Not Enrolled
CUST00050,Needs Attention,0,3,2466.39,5,3,3,11,1,33.3,3,0,Gold
CUST00051,Needs Attention,210,4,4444.3,1,3,5,9,2,0.0,6,35,Not Enrolled
CUST00052,Needs Attention,55,3,2807.14,3,3,4,10,1,33.3,7,8,Silver
CUST00053,Needs Attention,25,4,4192.59,4,3,5,12,2,0.0,9,5,Silver
CUST00054,New Customers,6,1,489.85,5,1,1,7,0,0.0,3,0,Not Enrolled
CUST00055,Dormant,3,3,1308.35,5,3,2,10,1,0.0,6,0,Not Enrolled
CUST00056,Dormant,9,4,3530.41,5,3,4,12,1,0.0,3,0,Not Enrolled
CUST00057,At-Risk,136,2,2510.83,2,2,3,7,0,0.0,7,29,Not Enrolled
CUST00058,Dormant,42,4,2451.54,4,3,3,10,0,0.0,2,6,Not Enrolled
CUST00059,Dormant,2,3,2852.63,5,3,4,12,0,0.0,3,2,Silver
CUST00060,Dormant,145,1,293.22,2,1,1,4,0,0.0,5,20,Not Enrolled
CUST00061,Dormant,14,4,1966.0900000000001,5,3,3,11,1,0.0,4,15,Not Enrolled
CUST00062,Dormant,21,4,2805.19,4,3,4,11,1,0.0,9,0,Silver
CUST00063,Dormant,216,1,397.69,1,1,1,3,1,0.0,0,24,Not Enrolled
CUST00064,New Customers,2,1,654.93,5,1,1,7,0,0.0,8,0,Not Enrolled
CUST00065,New Customers,6,1,1911.67,5,1,3,9,0,0.0,3,0,Not Enrolled
CUST00066,At-Risk,320,5,4598.95,1,4,5,10,1,0.0,11,60,Not Enrolled
CUST00067,Needs Attention,63,2,1246.44,3,2,2,7,1,50.0,1,5,Silver
CUST00068,Needs Attention,346,3,2123.66,1,3,3,7,1,33.3,5,60,Silver
CUST00069,New Customers,29,2,874.47,4,2,2,8,0,0.0,9,0,Not Enrolled
CUST00070,New Customers,38,1,542.98,4,1,1,6,0,0.0,1,18,Gold
CUST00071,New Customers,32,1,2062.5,4,1,3,8,1,0.0,1,12,Not Enrolled
CUST00072,At-Risk,90,4,2587.02,2,3,4,9,0,0.0,7,26,Not Enrolled
CUST00073,Champions,8,5,4077.07,5,4,5,14,0,0.0,7,0,Not Enrolled
CUST00074,Loyal Customers,7,4,2523.65,5,4,3,12,1,25.0,14,22,Platinum
